name,picture_1,picture_2,size,price
Varianta 1,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,10,39
Varianta 2,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,10,39
Varianta 3,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,10,39
Varianta 4,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,10,45
Varianta 5,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,10,45
Varianta 6,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,20,45
Varianta 7,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,20,58
Varianta 8,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,20,58
Varianta 9,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,20,58
Varianta 10,retaz-warm-white-white-flash.jpeg,retaz-warm-white-white-flash.jpeg,10,39
