name,picture_1,picture_2,size,price
Vzor 1,IMG_9020.jpeg,IMG_9021.jpeg,200 cm x 70 cm,300
Vzor 2,IMG_9022.jpeg,IMG_9023.jpeg,200 cm x 90 cm,300
Vzor 3,IMG_9026.jpeg,IMG_9029.jpeg,80 cm x 80 cm,150
Vzor 4,IMG_9027.jpeg,IMG_9030.jpeg,80 cm x 80 cm,150
Vzor 5,IMG_9032.jpeg,IMG_9033.jpeg,80 cm x 80 cm,150
Vzor 6,IMG_9033.jpeg,IMG_9034.jpeg,70 cm x 70 cm,130
Vzor 7,IMG_9034.jpeg,IMG_9036.jpeg,70 cm x 70 cm,130
Vzor 8,IMG_9037.jpeg,IMG_9038.jpeg,180 cm x 45 cm,280
Vzor 9,IMG_9039.jpeg,IMG_9040.jpeg,70 cm x 70 cm,130
Vzor 10,IMG_9042.jpeg,IMG_9045.jpeg,60 cm x 60 cm,120
Vzor 11,IMG_9046.jpeg,IMG_9048.jpeg,60 cm x 60 cm,120
Vzor 12,IMG_9049.jpeg,IMG_9050.jpeg,60 cm x 60 cm,120
Vzor 13,IMG_9053.jpeg,IMG_9055.jpeg,60 cm x 60 cm,120
Vzor 14,IMG_9059.jpeg,IMG_9060.jpeg,180 cm x 45 cm,280
Vzor 15,IMG_9065.jpeg,IMG_9066.jpeg,180 cm x 90 cm,280
Vzor 16,IMG_9073.jpeg,IMG_9074.jpeg,200 cm x 50 cm,300
Vzor 17,IMG_9077.jpeg,IMG_9078.jpeg,180 cm x 70 cm,300
